A01	32000001	33000000	13813	A01	32000001	33000000	24108	A01	32000001	33000000	20979	A01	32000001	33000000	4682	A01	32000001	33000000	10520	A01	32000001	33000000	5120	A01	32000001	33000000	6360
A01	32800001	33800000	12059	A01	32800001	33800000	19773	A01	32800001	33800000	17469	A01	32800001	33800000	4414	A01	32800001	33800000	9082	A01	32800001	33800000	4956	A01	32800001	33800000	5594
A01	33600001	34600000	9919	A01	33600001	34600000	18641	A01	33600001	34600000	15145	A01	33600001	34600000	3516	A01	33600001	34600000	7997	A01	33600001	34600000	4219	A01	33600001	34600000	4974
A01	34400001	35400000	7287	A01	34400001	35400000	13711	A01	34400001	35400000	10580	A01	34400001	35400000	2921	A01	34400001	35400000	5916	A01	34400001	35400000	3086	A01	34400001	35400000	3666
A01	35200001	36200000	6698	A01	35200001	36200000	13604	A01	35200001	36200000	10404	A01	35200001	36200000	2685	A01	35200001	36200000	6012	A01	35200001	36200000	2929	A01	35200001	36200000	3876
A01	36000001	37000000	7504	A01	36000001	37000000	15225	A01	36000001	37000000	11703	A01	36000001	37000000	3004	A01	36000001	37000000	6814	A01	36000001	37000000	3209	A01	36000001	37000000	4207
A01	36800001	37800000	7524	A01	36800001	37800000	15312	A01	36800001	37800000	11581	A01	36800001	37800000	3078	A01	36800001	37800000	6501	A01	36800001	37800000	3347	A01	36800001	37800000	4071
A01	37600001	38600000	8250	A01	37600001	38600000	17719	A01	37600001	38600000	13621	A01	37600001	38600000	3571	A01	37600001	38600000	7447	A01	37600001	38600000	4221	A01	37600001	38600000	4711
A01	38400001	39400000	9050	A01	38400001	39400000	16547	A01	38400001	39400000	14038	A01	38400001	39400000	3586	A01	38400001	39400000	7415	A01	38400001	39400000	4012	A01	38400001	39400000	4618
A01	39200001	40200000	13673	A01	39200001	40200000	21155	A01	39200001	40200000	18079	A01	39200001	40200000	4888	A01	39200001	40200000	9814	A01	39200001	40200000	5106	A01	39200001	40200000	5745
